anio_fiscal,mes_fiscal,tipo_contribuyente,actividad_economica,impuesto_causado_601,imp_a_pagar_por_percepcion_699,imp_a_pagar_por_retencion_799,total_compras_locales_e_importac_519,total_ventas_y_exportaciones_419
2016,1,SOCIEDADES,C1071,1486693.9100000001,1099970.82,221914.65,14416651.69,27779610.520000003
2016,1,SOCIEDADES,C1103,4464667.39,3487322.73,895297.52,22391078.85,55362545.82
2016,2,SOCIEDADES,C1050,985648.99,560535.45,1732356.0899999999,54025514.04,60859420.53
2016,2,SOCIEDADES,C1071,851804.55,711929.47,262943.79,16114827.61,22126524.38
2016,2,SOCIEDADES,C1103,5196155.88,4341254.2,591481.6799999999,14603475.91,54350485.72
2016,3,SOCIEDADES,C1050,1504835.3900000001,1264375.9,1035115.88,60197646.88,67485311.29
2016,3,SOCIEDADES,C1071,957330.98,790667.05,299716.99,17958610.67,24845527.630000003
2016,3,SOCIEDADES,C1103,3820140.47,2868989.49,1690390.99,27471745.57,56968709.53
2016,4,SOCIEDADES,C1050,1069512.66,792410.03,1203606.3399999999,53433550.5,61286791.410000004
2016,4,SOCIEDADES,C1071,1012787.08,849281.3,275034.04,15897504.790000001,24148323.03
2016,4,SOCIEDADES,C1103,4151378.36,3431987.04,355619.93,11484290.31,43740558.25
2016,5,SOCIEDADES,C1050,441051.92,375178.89,2025968.3399999999,70783191.3,69285808.07
2016,5,SOCIEDADES,C1071,1034104.75,871996.42,302079.10000000003,17746472.91,25510820.08
2016,5,SOCIEDADES,C1103,5892638.86,4971472,373342.54,15321852.84,62374130.39
2016,6,SOCIEDADES,C1050,2912086.7800000003,1959384.1900000002,912681.5,47237755.35,69734219.99
2016,6,SOCIEDADES,C1071,1335938.88,1143389.74,325146.97000000003,16148935.25,26324974.79
2016,6,SOCIEDADES,C1103,5625750.61,4627032.37,1611834.14,21158673.23,58426527.43
2016,7,SOCIEDADES,C1050,1854071.96,1581597.23,1103551.14,53176039.330000006,67547888.78
2016,7,SOCIEDADES,C1071,1605269.72,1379493.74,339798.61000000004,16911273.59,28415626.37
2016,7,SOCIEDADES,C1103,6188715.13,5226990.46,452860.83,14046376.629999999,55927568.03
2016,8,SOCIEDADES,C1050,1122378.14,798265.35,2154993.02,68413318.83,66340758.96
2016,8,SOCIEDADES,C1071,1328935.97,1129836.84,349074,17768290.06,26311304.61
2016,8,SOCIEDADES,C1103,5501585.51,4405616.37,1458761.07,23752051.41,60563896.94
2016,9,SOCIEDADES,C1050,1989350.73,1671512.01,1127426.05,63306324.85,64188282.94
2016,9,SOCIEDADES,C1071,1302727.56,1103466.54,340587.03,17428622.52,26416651.65
2016,9,SOCIEDADES,C1103,5904085.67,4885977.92,759480.24,17706448.54,57386090.65
2016,10,SOCIEDADES,C1050,1979711.1,1719275.6099999999,1247677.22,58643042.86,67956628.57
2016,10,SOCIEDADES,C1071,1502031.3199999998,1287838.18,315348.98,16722528.92,27976221.220000003
2016,10,SOCIEDADES,C1103,5343795.12,4355815.81,1387483.05,22666373.36,58111025.33
2016,11,SOCIEDADES,C1050,1672509.52,1023676.03,1759265.9200000002,60317895.12,71499323.23
2016,11,SOCIEDADES,C1071,1165565.88,1003238.35,283268.29,16143697.34,25813502.23
2016,11,SOCIEDADES,C1103,5936949.24,4861658.05,494472.96,18436143.29,58053879.14
2016,12,SOCIEDADES,C1050,2016557.63,1576972.76,1609477.56,65662341.71,72922034.47
2016,12,SOCIEDADES,C1071,804810.54,646368.92,476756.06,18271938.9,25239676.89
2016,12,SOCIEDADES,C1103,9058371.84,7604379.38,904453.91,24273974.46,85453617.91
2017,1,SOCIEDADES,C1050,2588319.0500000003,1934355.79,730236.82,48582471.96,64083822
2017,1,SOCIEDADES,C1071,1380684.61,825273.7799999999,274357.11,15345238.170000002,26070816.38
2017,1,SOCIEDADES,C1103,5380189.34,4364232.86,421431.67,19344979.49,54421420.68
2017,2,SOCIEDADES,C1050,1149186.38,717308.55,1744310.6700000002,59735477.41,64434355.11
2017,2,SOCIEDADES,C1071,1058464.6,871840.34,250071.84000000003,14119525.99,22499387.759999998
2017,2,SOCIEDADES,C1103,6717322.89,5740934.9,380885.62,11683568.04,57508771.24
2017,3,SOCIEDADES,C1050,2390256.42,1957099.7100000002,1216453.24,60733147.98,74496143.38
2017,3,SOCIEDADES,C1071,1429603.22,1199815.6800000002,297971.55,15992898.77,26195833.07
